"History Date/Time","Recorded Date","CRNo","Stage Desc.","Date Cleared","Inspection","LCA","Action Due","Event Type","Stage"
13/03/2017 07:31,12/03/2019,569810,RECORDED,,NI1,N1,NI1MOB,Ignored,1
13/03/2019 07:31,12/03/2019,569810,RECORDED,,NI1,N1,NI1MOB,,1
14/03/2019 07:32,13/03/2019,569924,CLEARED,14/03/2019,NI2,NI2MOB,,,9
17/04/2019 12:05,04/04/2019,560065,RECORDED,,SI6,S6,S6,,1
17/04/2019 12:05,04/04/2019,560064,RECORDED,,SI6,PTC,PTC,,1
17/04/2019 12:32,02/04/2019,560057,RECORDED,,NI3,NI3MOB,PTS,ROH,1
17/04/2019 13:29,04/04/2019,560063,RECORDED,,SI6,S5,NCR,RLQ,1
17/04/2019 13:34,02/04/2019,560056,RECORDED,,SI6,SI6MOB,SI6MOB,,1
17/04/2019 13:49,17/04/2019,560067,RECORDED,,SI4,S4,CLEARREQ,,1
17/04/2019 13:50,04/04/2019,560058,RECORDED,,SI6,SI6MOB,IR,,1
17/04/2019 13:53,04/04/2019,560058,RECORDED,,SI6,SI6MOB,IR,RES,1
17/04/2019 14:08,04/04/2019,560062,RECORDED,,SI5,NCR,CR,,1
